"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 19 20:04:19 ICT 2024","Tue Nov 19 20:04:19 ICT 2024","187","","Email Service Test","","com.services.EmailServiceTest","sendMail_shouldSendEmail","Send Email - Send Email",""
"passed","Tue Nov 19 20:04:21 ICT 2024","Tue Nov 19 20:04:21 ICT 2024","7","","Pond Service Test","","com.services.IPondServiceTest","deletePond_shouldThrowNotFoundException_whenPondNotFound","Delete Pond - Should throw NotFound when pond not found",""
"passed","Tue Nov 19 20:04:24 ICT 2024","Tue Nov 19 20:04:24 ICT 2024","9","","Product Service Test","","com.services.ProductServiceTest","getProduct_ShouldReturnProduct_WhenExists","Get Product - Return product when product exists",""
"passed","Tue Nov 19 20:04:25 ICT 2024","Tue Nov 19 20:04:25 ICT 2024","14","","User Service Tests","","com.services.UserServiceTest","deleteUser_ShouldThrowNotFoundException_WhenUserDoesNotExist","Delete User - Should throw NotFoundException when user does not exist",""
"passed","Tue Nov 19 20:04:23 ICT 2024","Tue Nov 19 20:04:23 ICT 2024","63","","Order Service Test","","com.services.OrderServiceTest","createOrder_ShouldThrowBadRequestException_WhenCartHasDisabledItems","Create Order - Should throw BadRequest when cart has disabled items",""
"passed","Tue Nov 19 20:04:17 ICT 2024","Tue Nov 19 20:04:17 ICT 2024","17","","Blog Service Tests","","com.services.BlogServiceTest","getBlogBySlug_shouldThrowNotFound_whenNoBlogFound","Get Blog By Slug - Should throw NotFoundException when no blog is found",""
"passed","Tue Nov 19 20:04:25 ICT 2024","Tue Nov 19 20:04:25 ICT 2024","9","","User Service Tests","","com.services.UserServiceTest","updateUser_ShouldUpdateUser_WhenUserExists","Update User - Should update user when user exists",""
"passed","Tue Nov 19 20:04:18 ICT 2024","Tue Nov 19 20:04:18 ICT 2024","16","","Cart Service Test","","com.services.CartServiceTest","clearCart_shouldClearCart_whenExists","Clear Cart - Should clear cart when exists",""
"passed","Tue Nov 19 20:04:22 ICT 2024","Tue Nov 19 20:04:22 ICT 2024","407","","Image Service Test","","com.services.ImageServiceTest","getDefaultImage_shouldReturnDefaultImageUrl","Get Default Image - Should return default image URL",""
"passed","Tue Nov 19 20:04:21 ICT 2024","Tue Nov 19 20:04:21 ICT 2024","9","","Pond Service Test","","com.services.IPondServiceTest","getPond_shouldReturnPond","Get Pond - Should return pond",""
"passed","Tue Nov 19 20:04:18 ICT 2024","Tue Nov 19 20:04:18 ICT 2024","12","","Cart Service Test","","com.services.CartServiceTest","deleteCart_shouldDeleteCart_whenExists","Delete Cart - Should delete cart when exists",""
"passed","Tue Nov 19 20:04:22 ICT 2024","Tue Nov 19 20:04:22 ICT 2024","11","","Image Service Test","","com.services.ImageServiceTest","uploadImage_shouldThrowException_whenFileIsEmpty","Upload Image - Should throw exception when file is empty",""
"passed","Tue Nov 19 20:04:18 ICT 2024","Tue Nov 19 20:04:18 ICT 2024","9","","Cart Service Test","","com.services.CartServiceTest","deleteCart_shouldThrowNotFound_whenCartDoesNotExist","Delete Cart - Should throw NotFound when cart does not exist",""
"passed","Tue Nov 19 20:04:19 ICT 2024","Tue Nov 19 20:04:19 ICT 2024","5","","Feedback Service Test","","com.services.FeedbackServiceTest","createFeedback_shouldSaveFeedback","Create feedback - Should save feedback",""
"passed","Tue Nov 19 20:04:25 ICT 2024","Tue Nov 19 20:04:25 ICT 2024","4","","User Service Tests","","com.services.UserServiceTest","getUser_ShouldReturnUser_WhenUserExists","Get User - Should return user when user exists",""
"passed","Tue Nov 19 20:04:19 ICT 2024","Tue Nov 19 20:04:19 ICT 2024","251","","Feedback Service Test","","com.services.FeedbackServiceTest","createFeedback_shouldThrowNotFoundException_whenUserOrProductNotFound","Create feedback - Should throw NotFoundException when user or product not found",""
"passed","Tue Nov 19 20:04:23 ICT 2024","Tue Nov 19 20:04:23 ICT 2024","0","","Order Service Test","","com.services.OrderServiceTest","createOrder_ShouldCreateOrder_WhenCartIsValid","Create Order - Should create order when cart is valid",""
